Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
ec9102ee-3288-4101-af76-62a48ac4c60a,Trial 1,3c9bbf15-e24e-4cb3-95c5-06820fcfb0f3,Paige

hrvSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,hrv
x388f9be-66e91217,-14400000,1726550636000,2024-09-17T01:23:56.000-04:00,62
x388f9be-66e91217,-14400000,1726550936000,2024-09-17T01:28:56.000-04:00,60
x388f9be-66e91217,-14400000,1726551236000,2024-09-17T01:33:56.000-04:00,58
x388f9be-66e91217,-14400000,1726551536000,2024-09-17T01:38:56.000-04:00,61
x388f9be-66e91217,-14400000,1726551836000,2024-09-17T01:43:56.000-04:00,58
x388f9be-66e91217,-14400000,1726552136000,2024-09-17T01:48:56.000-04:00,68
x388f9be-66e91217,-14400000,1726552436000,2024-09-17T01:53:56.000-04:00,60
x388f9be-66e91217,-14400000,1726552736000,2024-09-17T01:58:56.000-04:00,63
x388f9be-66e91217,-14400000,1726553036000,2024-09-17T02:03:56.000-04:00,64
x388f9be-66e91217,-14400000,1726553336000,2024-09-17T02:08:56.000-04:00,62
x388f9be-66e91217,-14400000,1726553636000,2024-09-17T02:13:56.000-04:00,64
x388f9be-66e91217,-14400000,1726553936000,2024-09-17T02:18:56.000-04:00,65
x388f9be-66e91217,-14400000,1726554236000,2024-09-17T02:23:56.000-04:00,65
x388f9be-66e91217,-14400000,1726554536000,2024-09-17T02:28:56.000-04:00,65
x388f9be-66e91217,-14400000,1726554836000,2024-09-17T02:33:56.000-04:00,67
x388f9be-66e91217,-14400000,1726555136000,2024-09-17T02:38:56.000-04:00,74
x388f9be-66e91217,-14400000,1726555436000,2024-09-17T02:43:56.000-04:00,78
x388f9be-66e91217,-14400000,1726555736000,2024-09-17T02:48:56.000-04:00,84
x388f9be-66e91217,-14400000,1726556036000,2024-09-17T02:53:56.000-04:00,80
x388f9be-66e91217,-14400000,1726556336000,2024-09-17T02:58:56.000-04:00,70
x388f9be-66e91217,-14400000,1726556636000,2024-09-17T03:03:56.000-04:00,78
x388f9be-66e91217,-14400000,1726556936000,2024-09-17T03:08:56.000-04:00,72
x388f9be-66e91217,-14400000,1726557236000,2024-09-17T03:13:56.000-04:00,60
x388f9be-66e91217,-14400000,1726557536000,2024-09-17T03:18:56.000-04:00,80
x388f9be-66e91217,-14400000,1726557836000,2024-09-17T03:23:56.000-04:00,67
x388f9be-66e91217,-14400000,1726558136000,2024-09-17T03:28:56.000-04:00,67
